smarts|contribute
? =============================================================================
? Alcohol
? =============================================================================
[OH][OH]|"{""OH"": -2}"
? =============================================================================
? Eter group and ester group
? =============================================================================
[CH3]OC(=O)[OH]|"{""COO"": -1}"
[CH2]OC(=O)[OH]|"{""COO"": -1}"
[CH]OC(=O)[OH]|"{""COO"": -1}"
[CH0]OC(=O)[OH]|"{""COOH"": -1, ""OH"": 1}"
[c]OC(=O)[OH]|"{""COOH"": -1, ""OH"": 1}"
[CH3]OC(=O)O[CH3]|"{""COO"": -1, ""CH3O"": -1, ""CH3"": 1}"
[CH3]OC(=O)O[CH2]|"{""COO"": -1, ""CH2O"": -1, ""CH2"": 1}"
[CH3]OC(=O)O[CH]|"{""COO"": -1, ""CHO"": -1, ""CH"": 1}"
[CH3]OC(=O)O[CH0,c]|"{""COO"": -1}"
[CH2]OC(=O)O[CH2]|"{""COO"": -1, ""CH2O"": -1, ""CH2"": 1}"
[CH2]OC(=O)O[CH]|"{""COO"": -1, ""CHO"": -1, ""CH"": 1}"
[CH2]OC(=O)O[CH0,c]|"{""COO"": -1}"
[CH]OC(=O)O[CH]|"{""COO"": -1, ""CHO"": -1, ""CH"": 1}"
[CH]OC(=O)O[CH0,c]|"{""COO"": -1}"
[CH](=O)O[$([#6,Si]);!$([CH](=O));!$(C(=O)[!O]);!$([CH3]);!$([CH2])]|"{""CHO"": -1}"
[CH]O[CH2]O[CH]|"{""CH2O"": -1, ""CH2"": 1, ""CHO"": 1, ""CH"": -1}"
? =============================================================================
? Aliphatic N
? =============================================================================
[NH2][CH2][NH][CH]|"{""CH2NH"": -1, ""CH2"": 1, ""CHNH"": 1, ""CH"": -1}"
? =============================================================================
? Amine and amide
? =============================================================================
[CH3][NH][C](=O)[NH][CH3]|"{""CONHCH3"": -1, ""CH3NH"": -1, ""CH3"": 2}"
[CH3][NH][C](=O)[NH][CH2]|"{""CONHCH2"": -1, ""CH3NH"": -1, ""CH3"": 1, ""CH2"": 1}"
[CH3][NH][C](=O)[NH][CH]|"{""CH3NH"": -1, ""CH3"": 1}"
[CH2][NH][C](=O)[NH][CH2]|"{""CONHCH2"": -1, ""CH2NH"": -1, ""CH2"": 2}"
[CH2][NH][C](=O)[NH][CH]|"{""CH2NH"": -1, ""CH2"": 1}"
[CH][NH][C](=O)[NH][CH]|"{""CHNH"": -1, ""CH2"": 1}"
[CH3][NH][C](=O)[NH0]([CH3])[CH3]|"{""CH3N"": -1, ""CH3"": 2, ""CONHCH3"": -1}"
[CH3][NH][C](=O)[NH0]([CH2])[CH3]|"{""CH3N"": -1, ""CH3"": 2, ""CONHCH3"": -1}"
[CH3][NH][C](=O)[NH0]([CH2])[CH2]|"{""CH2N"": -1, ""CH2"": 1, ""CH3"": 1, ""CONHCH3"": -1}"
[CH3][NH][C](=O)[NH0]([CH3,CH2])[CH]|"{""CH3NH"": -1, ""CH3"": 1}"
[CH2][NH][C](=O)[NH0]([CH3])[CH3]|"{""CH3N"": -1, ""CH3"": 1, ""CH2"": 1, ""CONHCH2"": -1}"
[CH2][NH][C](=O)[NH0]([CH2])[CH3]|"{""CH3N"": -1, ""CH3"": 1, ""CH2"": 1, ""CONHCH2"": -1}"
[CH2][NH][C](=O)[NH0]([CH2])[CH2]|"{""CH2N"": -1, ""CH2"": 2, ""CONHCH2"": -1}"
[CH2][NH][C](=O)[NH0]([CH3,CH2])[CH]|"{""CH2NH"": -1, ""CH2"": 1}"
[CH][NH][C](=O)[NH0]([CH3])[CH3]|"{""CH3N"": -1, ""CH3"": 1}"
[CH][NH][C](=O)[NH0]([CH2])[CH3]|"{""CH3N"": -1, ""CH3"": 1}"
[CH][NH][C](=O)[NH0]([CH2])[CH2]|"{""CH2N"": -1, ""CH2"": 1}"
? =============================================================================
? Ethoxy group
? =============================================================================
[CH3][O][CH2][CH2][OH]|"{""CH3O"": -1, ""CH3"": 1, ""CH2"": -1}"
[CH2][O][CH][CH2][OH]|"{""CH2O"": -1, ""CH2"": 1, ""CH"": -1}"
[CH3][O][CH][CH2][OH]|"{""CH3O"": -1, ""CH3"": 1, ""CH"": -1}"
[#6](=O)[O][CH][CH2][OH]|"{""C2H4O2"": -1, ""OH"": 1, ""CH2"": 1}"
[#6](=O)[O][CH2][CH2][OH]|"{""C2H5O2"": -1, ""OH"": 1, ""CH2"": 1}"
[#6](O)(=O)[O][CH2][CH2][OH]|"{""C2H5O2"": 1, ""OH"": -1, ""CH2"": -1}"