group|subgroup_number|main_group|R|Q
CH3|1|1|0.9011|0.848
CH2|2|1|0.6744|0.54
CH|3|1|0.4469|0.228
C|4|1|0.2195|0
CH2=CH|5|2|1.3454|1.176
CH=CH|6|2|1.1167|0.867
CH2=C|7|2|1.1173|0.988
CH=C|8|2|0.8886|0.676
ACH|9|3|0.5313|0.4
AC|10|3|0.3652|0.12
ACCH3|11|4|1.2663|0.968
ACCH2|12|4|1.0396|0.66
ACCH|13|4|0.8121|0.348
OH|14|5|1|1.2
CH3OH|15|6|1.4311|1.432
H2O|16|7|0.92|1.4
ACOH|17|8|0.8952|0.68
CH3CO|18|9|1.6724|1.488
CH2CO|19|9|1.4457|1.18
HCO|20|10|0.998|0.948
CH3COO|21|11|1.9031|1.728
CH2COO|22|11|1.6764|1.42
HCOO|23|12|1.242|1.188
CH3O|24|13|1.145|1.088
CH2O|25|13|0.9183|0.78
CHO|26|13|0.6908|0.468
THF|27|13|0.9183|1.1
CH3NH2|28|14|1.5959|1.544
CH2NH2|29|14|1.3692|1.236
CHNH2|30|14|1.1417|0.924
CH3NH|31|15|1.4337|1.244
CH2NH|32|15|1.207|0.936
CHNH|33|15|0.9795|0.624
CH3N|34|16|1.1865|0.94
CH2N|35|16|0.9597|0.632
ACNH2|36|17|1.06|0.816
C5H5N|37|18|2.9993|2.113
C5H4N|38|18|2.8332|1.833
C5H3N|39|18|2.667|1.553
CH3CN|40|19|1.8701|1.724
CH2CN|41|19|1.6434|1.416
COOH|42|20|1.3013|1.224
HCOOH|43|20|1.528|1.532
CH2CL|44|21|1.4654|1.264
CHCL|45|21|1.238|0.952
CCL|46|21|1.0106|0.724
CH2CL2|47|22|2.2564|1.988
CHCL2|48|22|2.0606|1.684
CCL2|49|22|1.8016|1.448
CHCL3|50|23|2.87|2.41
CCL3|51|23|2.6401|2.184
CCL4|52|24|3.39|2.91
ACCL|53|25|1.1562|0.844
CH3NO2|54|26|2.0086|1.868
CH2NO2|55|26|1.7818|1.56
CHNO2|56|26|1.5544|1.248
ACNO2|57|27|1.4199|1.104
CS2|58|28|2.057|1.65
CH3SH|59|29|1.877|1.676
CH2SH|60|29|1.651|1.368
FURFURAL|61|30|3.168|2.484
DOH|62|31|2.4088|2.248
I|63|32|1.264|0.992
BR|64|33|0.9492|0.832
CH=-C|65|34|1.292|1.088
C=-C|66|34|1.0613|0.784
DMSO|67|35|2.8266|2.472
ACRY|68|36|2.3144|2.052
CL-(C=C)|69|37|0.791|0.724
C=C|70|2|0.6605|0.485
ACF|71|38|0.6948|0.524
DMF|72|39|3.0856|2.736
HCON(CH2)2|73|39|2.6322|2.12
CF3|74|40|1.406|1.38
CF2|75|40|1.0105|0.92
CF|76|40|0.615|0.46
COO|77|41|1.38|1.2
SIH3|78|42|1.6035|1.2632
SIH2|79|42|1.4443|1.0063
SIH|80|42|1.2853|0.7494
SI|81|42|1.047|0.4099
SIH2O|82|43|1.4838|1.0621
SIHO|83|43|1.303|0.7639
SIO|84|43|1.1044|0.4657
NMP|85|44|3.981|3.2
CCL3F|86|45|3.0356|2.644
CCL2F|87|45|2.2287|1.916
HCCL2F|88|45|2.406|2.116
HCCLF|89|45|1.6493|1.416
CCLF2|90|45|1.8174|1.648
HCCLF2|91|45|1.967|1.828
CCLF3|92|45|2.1721|2.1
CCL2F2|93|45|2.6243|2.376
AMH2|94|46|1.4515|1.248
AMHCH3|95|46|2.1905|1.796
AMHCH2|96|46|1.9637|1.488
AM(CH3)2|97|46|2.8589|2.428
AMCH3CH2|98|46|2.6322|2.12
AM(CH2)2|99|46|2.4054|1.812
C2H5O2|100|47|2.1226|1.904
C2H4O2|101|47|1.8952|1.592
CH3S|102|48|1.613|1.368
CH2S|103|48|1.3863|1.06
CHS|104|48|1.1589|0.748
MORPH|105|49|3.474|2.796
C4H4S|106|50|2.8569|2.14
C4H3S|107|50|2.6908|1.86
C4H2S|108|50|2.5247|1.58
H2C=CH2|109|2|1.3564|1.3098
CH=-CH|110|34|0.791|0.72
NH3|111|55|0.851|0.778
CO|112|63|0.711|0.828
H2|113|62|0.416|0.571
H2S|114|61|1.235|1.202
N2|115|60|0.856|0.93
AR|116|59|1.177|1.116
CO2|117|56|1.3|0.982
CH4|118|57|1.1292|1.124
O2|119|58|0.733|0.849
? D2|120|62|0.37|0.527
SO2|121|65|1.343|1.164
NO|122|66|0.716|0.62
N2O|123|67|0.98|0.888
SF6|124|68|2.374|2.056
HE|125|69|0.885|0.985
NE|126|70|0.886|0.986
KR|127|71|1.12|1.12
XE|128|72|1.13|1.13
HF|129|73|1.016|1.216
HCL|130|74|1.056|1.256
HBR|131|75|1.058|1.258
HI|132|76|1.393|1.208
COS|133|77|1.6785|1.316
CHSH|134|29|1.425|1.06
CSH|135|29|1.199|0.752
H2COCH|136|51|1.3652|1.008
HCOCH|137|51|1.1378|0.696
HCOC|138|51|0.9104|0.468
H2COCH2|139|51|1.5926|1.32
H2COC|140|51|1.1378|0.78
COC|141|51|0.6829|0.24
F2|142|78|0.75|0.88
CL2|143|79|1.53|1.44
BR2|144|80|1.9|1.66
HCN|145|81|1.2|1.19
NO2|146|82|1|1.1
CF4|147|83|1.78|1.82
O3|148|84|1.1|1.27
CLNO|149|85|1.48|1.34
CNH2|152|14|0.9147|0.614